date,value
2002-05-12_12_00,358.1418151855469
2002-05-12_06_00,390.3377990722656
2002-05-12_12_00,380.45477294921875
2002-05-12_06_00,351.4411926269531
2002-05-13_12_00,339.4291687011719
2002-05-13_06_00,333.8815002441406
2002-05-13_12_00,337.82208251953125
2002-05-13_06_00,322.5934143066406
2002-05-14_12_00,276.75286865234375
2002-05-14_06_00,283.85174560546875
2002-05-14_12_00,355.0720520019531
2002-05-14_06_00,302.1353759765625
2002-05-15_12_00,279.8294982910156
2002-05-15_06_00,266.96405029296875
2002-05-15_12_00,303.2304382324219
2002-05-15_06_00,346.3001708984375
2002-05-16_12_00,352.16400146484375
2002-05-16_06_00,370.3988342285156
2002-05-16_12_00,365.59228515625
2002-05-16_06_00,376.3729553222656
2002-05-17_12_00,328.1741638183594
2002-05-17_06_00,263.9362487792969
2002-05-17_12_00,315.25677490234375
2002-05-17_06_00,304.2761535644531
2002-05-18_12_00,246.5212860107422
2002-05-18_06_00,236.46588134765625
2002-05-18_12_00,242.18453979492188
2002-05-18_06_00,264.2188720703125
2002-05-19_12_00,256.2719421386719
2002-05-19_06_00,308.5758056640625
2002-05-19_12_00,273.0080261230469
2002-05-19_06_00,303.5818176269531
2002-05-20_12_00,287.6908874511719
2002-05-20_06_00,290.15069580078125
2002-05-20_12_00,271.1565246582031
2002-05-20_06_00,251.014404296875
2002-05-21_12_00,231.28050231933594
2002-05-21_06_00,230.0974578857422
2002-05-21_12_00,250.55618286132812
2002-05-21_06_00,266.3833312988281
2002-05-22_12_00,259.97332763671875
2002-05-22_06_00,253.12936401367188
2002-05-22_12_00,269.5545654296875
2002-05-22_06_00,286.8041076660156
2002-05-23_12_00,287.0577392578125
2002-05-23_06_00,289.7937316894531
2002-05-23_12_00,345.61517333984375
2002-05-23_06_00,389.4605712890625
2002-05-24_12_00,386.9491882324219
2002-05-24_06_00,377.3133850097656
2002-05-24_12_00,305.34515380859375
2002-05-24_06_00,286.84912109375
2002-05-25_12_00,267.9660339355469
2002-05-25_06_00,352.9287109375
2002-05-25_12_00,375.793212890625
2002-05-25_06_00,361.6234130859375
2002-05-26_12_00,298.2830505371094
2002-05-26_06_00,267.455810546875
2002-05-26_12_00,296.75079345703125
2002-05-26_06_00,323.0020446777344
2002-05-27_12_00,303.30694580078125
2002-05-27_06_00,294.8072509765625
2002-05-27_12_00,331.1440734863281
2002-05-27_06_00,373.3805236816406
2002-05-28_12_00,375.2255859375
2002-05-28_06_00,384.422119140625
2002-05-28_12_00,382.8757629394531
2002-05-28_06_00,374.87579345703125
2002-05-29_12_00,366.745849609375
2002-05-29_06_00,385.1153259277344
2002-05-29_12_00,400.84625244140625
2002-05-29_06_00,386.2677307128906
2002-05-30_12_00,363.8061218261719
2002-05-30_06_00,352.7915954589844
2002-05-30_12_00,371.9010314941406
2002-05-30_06_00,381.8271179199219
2002-05-31_12_00,371.75628662109375
2002-05-31_06_00,360.5444030761719
2002-05-31_12_00,366.0029296875
2002-05-31_06_00,398.5679931640625
2002-06-01_12_00,339.033203125
2002-06-01_06_00,327.81402587890625
2002-06-01_12_00,358.7221984863281
2002-06-01_06_00,368.8639221191406
2002-06-02_12_00,353.32818603515625
2002-06-02_06_00,334.72686767578125
2002-06-02_12_00,362.98468017578125
2002-06-02_06_00,367.2697448730469
2002-06-03_12_00,353.96038818359375
2002-06-03_06_00,363.63250732421875
2002-06-03_12_00,382.811279296875
2002-06-03_06_00,403.6983337402344
2002-06-04_12_00,396.42181396484375
2002-06-04_06_00,398.8185729980469
2002-06-04_12_00,403.255615234375
2002-06-04_06_00,408.1961975097656
2002-06-05_12_00,415.50286865234375
2002-06-05_06_00,396.64434814453125
2002-06-05_12_00,379.16827392578125
2002-06-05_06_00,363.7748107910156
2002-06-06_12_00,324.0316467285156
2002-06-06_06_00,313.7556457519531
2002-06-06_12_00,327.4078063964844
2002-06-06_06_00,305.9024353027344
2002-06-07_12_00,299.20782470703125
2002-06-07_06_00,308.38262939453125
2002-06-07_12_00,314.48016357421875
2002-06-07_06_00,336.54559326171875
2002-06-08_12_00,328.4318542480469
2002-06-08_06_00,346.179931640625
2002-06-08_12_00,383.9693298339844
2002-06-08_06_00,352.63140869140625
2002-06-09_12_00,358.1060791015625
2002-06-09_06_00,320.9855651855469
2002-06-09_12_00,358.54608154296875
2002-06-09_06_00,419.8581237792969
2002-06-10_12_00,376.239013671875
2002-06-10_06_00,372.96990966796875
2002-06-10_12_00,395.20867919921875
2002-06-10_06_00,409.7050476074219
2002-06-11_12_00,388.1343688964844
2002-06-11_06_00,408.08447265625
2002-06-11_12_00,426.11846923828125
2002-06-11_06_00,414.65277099609375
2002-06-12_12_00,395.3106689453125
2002-06-12_06_00,383.1295166015625
2002-06-12_12_00,396.15032958984375
2002-06-12_06_00,371.75506591796875
2002-06-13_12_00,315.63775634765625
2002-06-13_06_00,337.5940856933594
2002-06-13_12_00,373.38958740234375
2002-06-13_06_00,376.2859191894531
2002-06-14_12_00,332.19482421875
2002-06-14_06_00,330.4064025878906
2002-06-14_12_00,338.469482421875
2002-06-14_06_00,354.316162109375
2002-06-15_12_00,352.0506286621094
2002-06-15_06_00,309.7593078613281
2002-06-15_12_00,333.615966796875
2002-06-15_06_00,353.06964111328125
2002-06-16_12_00,312.9970703125
2002-06-16_06_00,294.7738342285156
2002-06-16_12_00,307.3287048339844
2002-06-16_06_00,339.5295715332031
2002-06-17_12_00,353.7145080566406
2002-06-17_06_00,358.6156311035156
2002-06-17_12_00,356.4989318847656
2002-06-17_06_00,381.18927001953125
2002-06-18_12_00,350.8240051269531
2002-06-18_06_00,322.01422119140625
2002-06-18_12_00,339.7425537109375
2002-06-18_06_00,348.4282531738281
2002-06-19_12_00,334.2312316894531
2002-06-19_06_00,337.59735107421875
2002-06-19_12_00,370.65362548828125
2002-06-19_06_00,393.3549499511719
2002-06-20_12_00,367.1518249511719
2002-06-20_06_00,394.3912353515625
2002-06-20_12_00,390.2476806640625
2002-06-20_06_00,409.1658020019531
2002-06-21_12_00,398.7057189941406
2002-06-21_06_00,382.3179931640625
2002-06-21_12_00,404.8135986328125
2002-06-21_06_00,414.2807922363281
2002-06-22_12_00,391.43707275390625
2002-06-22_06_00,370.9349670410156
2002-06-22_12_00,390.87542724609375
2002-06-22_06_00,398.3503723144531
2002-06-23_12_00,373.77471923828125
2002-06-23_06_00,366.4236755371094
2002-06-23_12_00,381.12860107421875
2002-06-23_06_00,386.1083984375
2002-06-24_12_00,356.70611572265625
2002-06-24_06_00,332.6507873535156
2002-06-24_12_00,364.7915954589844
2002-06-24_06_00,386.2740478515625
2002-06-25_12_00,395.7938537597656
2002-06-25_06_00,396.609375
2002-06-25_12_00,421.0187072753906
2002-06-25_06_00,424.1798400878906
2002-06-26_12_00,410.18701171875
2002-06-26_06_00,382.2127990722656
2002-06-26_12_00,405.830078125
2002-06-26_06_00,412.4596862792969
2002-06-27_12_00,395.1934814453125
2002-06-27_06_00,374.6684265136719
2002-06-27_12_00,365.7694396972656
2002-06-27_06_00,394.34564208984375
2002-06-28_12_00,358.0556945800781
2002-06-28_06_00,330.51495361328125
2002-06-28_12_00,344.9041748046875
2002-06-28_06_00,358.0365295410156
2002-06-29_12_00,338.152587890625
2002-06-29_06_00,324.82843017578125
2002-06-29_12_00,359.7068786621094
2002-06-29_06_00,389.879638671875
2002-06-30_12_00,383.87933349609375
2002-06-30_06_00,377.1980895996094
2002-06-30_12_00,408.1311340332031
2002-06-30_06_00,444.7264709472656
2002-07-01_12_00,403.1973571777344
2002-07-01_06_00,384.09002685546875
2002-07-01_12_00,403.636962890625
2002-07-01_06_00,412.1703186035156
2002-07-02_12_00,381.9913635253906
2002-07-02_06_00,362.2459716796875
2002-07-02_12_00,383.0350036621094
2002-07-02_06_00,397.5505676269531
2002-07-03_12_00,377.1885681152344
2002-07-03_06_00,353.1458740234375
2002-07-03_12_00,402.7094421386719
2002-07-03_06_00,422.6682434082031
2002-07-04_12_00,407.6085510253906
2002-07-04_06_00,389.4510498046875
2002-07-04_12_00,419.7508850097656
2002-07-04_06_00,430.323486328125
